Post,Company,Experience,Level,Salary,Deadline
Pre-Primary Coordinator (Montessori),Shree Tarapunja English School,More than 2 years,Mid Level,Not Disclosed,2026-01-06
Software Developer,K.System,Not Required,Entry Level,"NRs. 50,000 Monthly",2026-01-06
Search Engine Optimization Specialist,The British College,More than 2 years,Mid Level,Not Disclosed,2026-01-06
Recruitment Executive,Rojgari Services,Equal to 1 year,Entry Level,"NRs. 22,000 Monthly",2026-01-06
Finance Officer,Alfa Health Care and Diagnostic Center,More than 1 year,Mid Level,Not Disclosed,2026-01-06
School Nurse,Prasadi Academy,More than 1 year,Mid Level,"NRs. 1,100 Daily",2026-01-06
Market Representative,Kathmandu Commerce & Trade (Bravo),More than 1 year,Mid Level,Not Disclosed,2026-01-06
UK Study Abroad Counselor,Elum Education,More than 1 year,Mid Level,"NRs. 40,000 - 50,000 Monthly",2026-01-07
Marketing Surveyor,Smart Kirana Pasal,Not Required,Entry Level,Not Disclosed,2026-01-07
Operations Incharge,Mero Storage,More than 1 year,Mid Level,"NRs. 28,000 - 33,000 Monthly",2026-01-07
Sales and Marketing Executive,International Electronics Concern,Not Required,Entry Level,Not Disclosed,2026-01-07
Business Analyst,Nepal Digital Payments Company Limited,Not Required,Mid Level,Not Disclosed,2026-01-07
Jr. Laravel Developer,Nepal Digital Payments Company Limited,Not Required,Entry Level,Not Disclosed,2026-01-07
Jr. Flutter Developer,Nepal Digital Payments Company Limited,Not Required,Entry Level,Not Disclosed,2026-01-07
System Support Associate,Nepal Digital Payments Company Limited,Not Required,Entry Level,Not Disclosed,2026-01-07
Manager,Hot Stone,More than 3 years,Mid Level,Not Disclosed,2026-01-07
Digital Marketing Manager,Hot Stone,More than 2 years,Mid Level,Not Disclosed,2026-01-07
App Developer,Hot Stone,More than 5 years,Senior Level,Not Disclosed,2026-01-07
Email Marketing Assistant,Hot Stone,More than 2 years,Mid Level,Not Disclosed,2026-01-07
QA Engineer (Automation and Manual),Hot Stone,More than 5 years,Senior Level,Not Disclosed,2026-01-07
Marketing / Social Media Officer,Lalpurja Nepal,More than 1 year,Mid Level,Not Disclosed,2026-01-07
Personal Secretary,Revive Infrastech and Investment,More than 2 years,Mid Level,"NRs. 30,000 Monthly",2026-01-07
Clinical Nurse,Creator's IVF Nepal,More than 1 year,Mid Level,Not Disclosed,2026-01-08
General Operations Support (HR & Finance),Executive Search- Merojob,More than 3 years,Mid Level,Not Disclosed,2026-01-08
Electrical Engineer,Eco Sun Power Development,More than 2 years,Mid Level,Not Disclosed,2026-01-08
Graphic Designer,Goyal Metal Industries,More than 1 year,Mid Level,Not Disclosed,2026-01-08
Nepali Teacher,EuroKids International,More than 1 year,Mid Level,Not Disclosed,2026-01-08
Admin Coordinator,EuroKids International,More than 2 years,Mid Level,Not Disclosed,2026-01-08
Customer Service Representative,Evolution Trading,Less than 1 year,Mid Level,Not Disclosed,2026-01-08
Showroom Sales Executive,Evolution Trading,Less than 1 year,Entry Level,Not Disclosed,2026-01-08
Sales Associates,ZenNepal,More than 1 year,Mid Level,"NRs. 35,000 - 48,000 Monthly",2026-01-08
Study Abroad Counselor,The Metaphor Consultancy - IEC Group,More than 5 years,Senior Level,Not Disclosed,2026-01-08
Sr. Project Manager / Project Manager - High Rise Building,RV Group,More than 15 years,Top Level,Not Disclosed,2026-01-09
Program Coordinator – MBA,KFA,More than 3 years,Mid Level,Not Disclosed,2026-01-09
Senior Civil Project Manager - High Rise Projects,RV Group,More than 15 years,Top Level,Not Disclosed,2026-01-09
Grade Teacher - English (Grade 1),Rosebud School,More than 2 years,Mid Level,"NRs. 40,000 - 50,000 Monthly",2026-01-10
Project Officer,Sneha's Care,More than 2 years,Mid Level,Not Disclosed,2026-01-10
School Teachers,Ace School,More than 2 years,Mid Level,Not Disclosed,2026-01-10
Regional Sales Coordinator (Mobile Phone),ZTE Nepal,More than 3 years,Mid Level,Not Disclosed,2026-01-10
Area Sales Coordinator (Mobile Phone),ZTE Nepal,Less than 2 years,Mid Level,Not Disclosed,2026-01-10
Full Stack Developer - Next.js / Node.js,Team Enoch,More than 3 years,Mid Level,Not Disclosed,2026-01-10
Assistant – Loan and Recovery,MAW Hire Purchase,More than 1 year,Mid Level,Not Disclosed,2026-01-10
Sales Development Representative,Executive Search- Merojob,More than 2 years,Entry Level,Not Disclosed,2026-01-10
Construction Manager,Kankai International Builders,More than 15 years,Top Level,Not Disclosed,2026-01-10
Video Presenter,Lalpurja Nepal,More than 1 year,Mid Level,Not Disclosed,2026-01-10
Real Estate Agent,Lalpurja Nepal,More than 1 year,Mid Level,Not Disclosed,2026-01-10
Engineer,Lalpurja Nepal,More than 2 years,Mid Level,Not Disclosed,2026-01-10
School Teacher,Ace School,More than 2 years,Mid Level,Not Disclosed,2026-01-10
Consultant Officer,Basanta Employment,More than 1 year,Mid Level,Not Disclosed,2026-01-10
Content Creator / Social Media Handler,Basanta Employment,More than 1 year,Mid Level,Not Disclosed,2026-01-10
Agriculture Technical Officer – Regenerative Agriculture and Permaculture,Volunteers Initiative Nepal (VIN),More than 5 years,Senior Level,"NRs. 50,000 - 70,000 Monthly",2026-01-10
Social Media Content Creator,Study Info Centre,More than 1 year,Mid Level,"NRs. 20,000 - 40,000 Monthly",2026-01-12
Office Administrator,Agro Thai Foods,More than 1 year,Entry Level,Not Disclosed,2026-01-12
Private Sector Development Advisor,GIZ,More than 5 years,Senior Level,Not Disclosed,2026-01-12
Social Media Handler,Executive Search- Merojob,More than 1 year,Entry Level,Not Disclosed,2026-01-13
Procurement Specialist (EP),Huawei Technologies Nepal,More than 3 years,Mid Level,Not Disclosed,2026-01-13
Mechanical Overseer / Engineer,Gabion Wiretech,More than 2 years,Mid Level,"NRs. 300,000 - 500,000 Yearly",2026-01-13
Social Media Marketing Officer,Mero Coding Class,More than 1 year,Mid Level,Not Disclosed,2026-01-13
